Headline,Source,Published,Link,Sentiment_Score,Sentiment
Wall Street’s Top Billionaires Are Changing Their Mind About Apple (AAPL) - Yahoo Finance,Google News,"Sat, 13 Jun 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMipAFBVV95cUxQZnNHaGZrcTJ3YThZLTZmZ2V3UlRvSWVhWGN6Rk01T20wUF9Da1V6TnVPdnJ3czJqYVZPbVNYUTVJWThBeGMzc0tIVHZ1X1M5QmN5UmFTSnhrcktIcVR6TEtXRlhMeVRCOTJwZ0lqcUh1RmlQYXN0RDRCVU9EaUFqSlVIRVI4N0gwcEhiQi00RDZWaG1BaUloVXVnLWtRMEdIcG1MZw?oc=5,0.2023,Bullish
"AAPL Stock Gains — Apple Reportedly Eyes Foldable iPhone, Camera-Equipped AirPods Launches In 2027 - Stocktwits",Google News,"Thu, 09 Jul 2026 13:01:50 GMT",https://news.google.com/rss/articles/CBMi1AFBVV95cUxQWGtNOTlQelFyMkJVelNVejNjQWQ5ME9lTHlkd2dJWnExazNscTRiSWVhWG1KTlVXOXBpSnEyeWZpNmdldHQxV2lwcU1OZ29HNVI4Z2pHbTFOclRzdHROSEhqMFBjekZwRU84TzF6UE0yN0NyanA2UnpoM29rakxkUXlPVEpLcHFMdTd2Rll3T0NjdElvc0xJeDVtZnBUSE9BTGdXWW9YendCMjRvdkZySkNQRDBDU2R3cUNhM0pXbHhZMkJpOUNaclZMT2M4UzhGUThEWQ?oc=5,0.34,Bullish
Why Apple (AAPL) Stock Is Up Today - Quiver Quantitative,Google News,"Thu, 02 Jul 2026 15:56:00 GMT",https://news.google.com/rss/articles/CBMie0FVX3lxTE9lLWcwTWZpUmVLbmVSMjZ0V1BYM0hsdGVMLURjMnkwbWRzVWtuTzVsQVFEWG5aS014X1RVS3BzWFZ3QXEyLWF5alI0MVNsZ2tqUmRtRl9VVDdwTHpHVEttVHVBSGhIcXNVUWRNelhhOVhBQmlxdnRGZ1lWVQ?oc=5,0.0,Neutral
Why Apple (AAPL) Stock Is Trading Up Today - Yahoo Finance,Google News,"Thu, 02 Jul 2026 07:00:00 GMT",https://news.google.com/rss/articles/CBMimAFBVV95cUxNSkNNQlAwRHNIekY2QV9uSm9Qd1ZGNFFBbks0V3dYN2txQ1dZcm10V2JOdF93a1puZmN2Rk9sS3lja2oyVV9KS3R4WkptZk9ySmFtRThiZDh2N1luU1pDM1BSSlotY1o4Qk1xUnY2MHN6Z01kQVp6c2l3dkM2d3oyN1o4cWJmdmhNdW0tM25tMUc2S29kQURTeg?oc=5,0.0,Neutral
AAPL Stock Unmoved After-Hours — Apple Sues OpenAI Over Alleged 'Rotten' Campaign To Steal AI Hardware Secrets - Stocktwits,Google News,"Fri, 10 Jul 2026 04:09:34 GMT",https://news.google.com/rss/articles/CBMigAJBVV95cUxQTnBwNnVKX0pJdXpHOXZ2T3lHYlQ4by1WYzBhVGFnWlBTWVlscnppalJadnZmcmp1X0hQcjFSMHpFZ2N2WkE5Zmp1RHlCNWw3anl4RGVJU19majFIVng0UnctMnJXYzVVZXE3emU3NEhQR29UcS1vTHBqS0d6bjNMMHkxQzZvaVBzU1VQYVcyRDVZVXZ4M3FBbmx2WVBOeG5QczNraG9oblk5QlNPMzlncEQweDBfTDBsSHIzc1Q4c3kxeWhhUTI4T3JwSGFuaUNuODBoZTRfbnY3aldGb21tTjlGSHNsa29Yd3daQ0xmTldqZFRBUGp3cVhzTmt6Q2Ja?oc=5,-0.7579,Bearish
"The 2 Magnificent Seven Stocks With the Most Upside Potential, According to Wall Street",Yahoo Finance,"Sat, 11 Jul 2026 04:35:00 +0000",https://www.fool.com/investing/2026/07/11/the-2-magnificent-seven-stocks-with-the-most-upsid/?.tsrc=rss,0.5994,Bullish
Apple sues OpenAI alleging trade secret theft,Yahoo Finance,"Sat, 11 Jul 2026 02:46:10 +0000",https://pitchbook.com/news/articles/apple-sues-openai-alleging-trade-secret-theft?.tsrc=rss,0.0,Neutral
Has Meta ever had a stock split? What sets this ‘Mag 7’ stock apart,Yahoo Finance,"Sat, 11 Jul 2026 01:47:54 +0000",https://www.thestreet.com/investing/stocks/meta-platforms-stock-split?.tsrc=rss,0.0,Neutral
"Apple Sues OpenAI and Former Employees, Alleging Theft of Trade Secrets—and a Laptop",Yahoo Finance,"Fri, 10 Jul 2026 23:25:00 +0000",https://finance.yahoo.com/m/cff92d7b-515b-3ee8-98aa-bf84716b00e7/apple-sues-openai-and-former.html?.tsrc=rss,0.0,Neutral
"Apple accuses OpenAI, and former design star Jony Ive’s io Products firm, of stealing hardware trade secrets in blockbuster lawsuit",Yahoo Finance,"Fri, 10 Jul 2026 23:19:36 +0000",https://finance.yahoo.com/technology/ai/articles/apple-accuses-openai-former-design-231936659.html?.tsrc=rss,-0.6369,Bearish
Apple vs. Nvidia: One Is Growing 10x Faster and Trades Cheaper. The Better AI Dividend Stock Is Clear.,Yahoo Finance,"Fri, 10 Jul 2026 23:00:02 +0000",https://www.barchart.com/story/news/3232162/apple-vs-nvidia-one-is-growing-10x-faster-and-trades-cheaper-the-better-ai-dividend-stock-is-clear?.tsrc=rss,0.802,Bullish
"I’d Put $25,000 in These 2 ETFs Before the Next Earnings Season",Yahoo Finance,"Fri, 10 Jul 2026 22:12:42 +0000",https://247wallst.com/investing/etf/2026/07/10/id-put-25000-in-these-2-etfs-before-the-next-earnings-season/?.tsrc=rss,0.0,Neutral
AAPL Stock Unmoved After-Hours — Apple Sues OpenAI Over Alleged 'Rotten' Campaign To Steal AI Hardware Secrets,Yahoo Finance,"Fri, 10 Jul 2026 22:08:36 +0000",https://stocktwits.com/news-articles/markets/equity/aapl-stock-unmoved-after-hours-apple-sues-open-ai-over-alleged-rotten-campaign-to-steal-ai-hardware-secrets/cZmrj2wR78n?.tsrc=rss,-0.7579,Bearish
OpenAI Back in Another Legal War Weeks After Beating Elon Musk,Yahoo Finance,"Fri, 10 Jul 2026 21:45:18 +0000",https://beincrypto.com/apple-sues-openai-trade-secrets/?.tsrc=rss,-0.7506,Bearish
Apple is suing OpenAI over alleged trade secret theft,Yahoo Finance,"Fri, 10 Jul 2026 21:36:09 +0000",https://finance.yahoo.com/technology/article/apple-is-suing-openai-over-alleged-trade-secret-theft-213609180.html?.tsrc=rss,-0.2732,Bearish
Apple vs. Broadcom: Is Either Stock a Buy After Their $30 Billion Chip Partnership?,Yahoo Finance,"Fri, 10 Jul 2026 21:32:00 +0000",https://finance.yahoo.com/markets/stocks/articles/apple-vs-broadcom-either-stock-213200451.html?.tsrc=rss,0.0,Neutral
Apple sues OpenAI over alleged trade secret theft,Yahoo Finance,"Fri, 10 Jul 2026 21:04:59 +0000",https://finance.yahoo.com/technology/ai/articles/apple-sues-openai-over-alleged-210459570.html?.tsrc=rss,0.0,Neutral
Apple is suing OpenAI for theft of trade secrets. Here's what we know.,Yahoo Finance,"Fri, 10 Jul 2026 21:00:55 +0000",https://finance.yahoo.com/video/apple-is-suing-openai-for-theft-of-trade-secrets-heres-what-we-know-210055479.html?.tsrc=rss,-0.2732,Bearish
Micron Jumps as Chip Sentiment Improves,Yahoo Finance,"Fri, 10 Jul 2026 20:25:14 +0000",https://finance.yahoo.com/markets/stocks/articles/micron-jumps-chip-sentiment-improves-202514381.html?.tsrc=rss,0.4215,Bullish
"SpaceX Will Be ‘Worth More Than the Rest of Earth,’ Musk Says. How He Gets There.",Yahoo Finance,"Fri, 10 Jul 2026 20:11:00 +0000",https://finance.yahoo.com/m/5933e137-642b-3e76-a7eb-a802733f6eb9/spacex-will-be-%E2%80%98worth-more.html?.tsrc=rss,0.0,Neutral
